County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes,COVID_19
Williamson,767,177,172,44,36,37,24,27,15,28,20,8,9,170,
Winnebago,2669,615,707,169,146,106,66,54,43,43,27,20,46,627,
Woodford,345,73,81,24,15,9,20,5,7,10,5,6,0,90,
ILLINOIS,102433,24670,24570,5332,5314,4471,2865,2705,2392,2326,1703,1295,1189,23601,
Adams,771,180,156,47,47,35,30,13,21,31,12,6,6,187,
Alexander,99,26,21,3,6,4,2,2,9,0,6,1,0,19,
Bond,161,39,47,7,5,10,4,2,2,3,4,0,0,38,
Boone,393,84,98,16,29,25,12,7,9,8,0,8,3,94,
Brown,50,13,9,5,3,0,1,1,2,0,1,1,0,14,
Bureau,336,95,74,15,16,14,9,8,11,16,5,4,3,66,
Calhoun,56,18,17,2,3,3,2,2,0,0,0,1,0,8,
Carroll,197,34,55,12,20,10,4,2,4,2,5,3,1,45,
Cass,155,24,36,7,15,15,2,1,5,5,2,5,1,37,
Champaign,1158,250,273,43,62,71,61,37,25,25,27,14,16,254,
Christian,426,117,93,27,27,22,26,12,3,11,13,9,2,64,
Clark,187,45,46,11,11,10,12,9,1,4,3,2,1,32,
Clay,173,41,22,11,15,9,3,6,9,7,5,4,0,41,
Clinton,336,109,69,16,24,15,3,6,7,8,6,6,0,67,
Coles,514,136,125,24,41,17,19,15,12,10,2,4,7,102,
Cook,39353,10094,9490,2035,1604,1455,869,1134,922,924,724,451,471,9180,
Chicago,18911,5005,4428,909,679,797,310,616,473,470,415,194,249,4366,
Cook,20442,5089,5062,1126,925,658,559,518,449,454,309,257,222,4814,
Crawford,211,45,52,16,14,12,10,7,5,2,5,3,0,40,
Cumberland,109,23,30,3,6,4,5,8,2,3,0,1,1,23,
DeKalb,703,174,161,43,40,27,20,20,11,15,8,7,5,172,
DeWitt,177,39,39,8,14,9,12,6,5,6,2,2,1,34,
Edgar,251,77,51,14,14,10,14,4,9,7,1,5,4,41,
Edwards,74,19,15,4,3,9,1,4,2,2,0,0,1,14,
Effingham,365,72,74,27,27,20,14,11,11,8,4,4,3,90,
Fayette,219,41,55,18,14,12,8,8,7,3,3,2,1,47,
Ford,193,38,40,6,11,9,15,5,9,2,4,1,3,50,
Franklin,535,98,112,22,48,38,23,26,14,21,19,5,6,103,
Fulton,451,105,103,14,26,19,8,3,14,13,11,3,6,126,
Gallatin,72,21,19,5,6,1,3,2,1,2,2,1,1,8,
Greene,139,26,34,4,11,7,5,7,2,4,2,0,1,36,
Grundy,382,91,92,24,17,28,10,12,7,10,5,6,3,77,
Hamilton,103,45,20,9,7,1,2,0,5,4,3,0,0,7,
Hancock,199,43,60,17,11,9,7,7,3,6,2,1,1,32,
Hardin,46,15,7,1,4,3,0,0,1,2,0,0,2,11,
Henderson,93,26,24,7,5,5,4,4,1,2,0,2,1,12,
Henry,508,140,107,20,26,17,12,17,13,15,7,2,5,127,
Iroquois,379,114,85,23,20,22,23,19,5,4,4,6,1,53,
Jackson,488,123,105,24,27,24,27,6,11,12,6,10,7,106,
Jasper,111,26,27,6,8,2,7,0,5,5,3,0,0,22,
Jefferson,431,72,100,19,30,22,23,8,20,6,14,5,9,103,
Jersey,247,69,57,13,17,10,18,12,1,2,5,1,3,39,
Jo Daviess,229,54,68,12,9,9,11,5,4,3,2,3,2,47,
Johnson,128,18,35,4,7,9,3,1,4,0,4,0,0,43,
Kane,2930,578,711,132,164,122,57,91,89,71,35,48,42,790,
Kankakee,1017,228,263,53,55,37,41,28,19,20,24,11,15,223,
Kendall,517,95,138,19,39,27,5,9,8,6,10,13,3,145,
Knox,702,152,151,43,57,21,48,21,9,20,10,7,6,157,
Lake,4345,941,1139,228,216,171,112,141,94,82,71,69,55,1026,
LaSalle,1307,323,294,78,108,48,46,23,19,40,12,11,24,281,
Lawrence,206,47,37,11,18,11,13,7,4,6,3,3,2,44,
Lee,332,77,88,22,17,15,6,7,5,6,1,2,2,84,
Livingston,431,115,90,23,18,28,11,12,11,15,5,3,5,95,
Logan,323,60,79,17,22,13,20,9,4,8,9,3,2,77,
McDonough,272,65,57,18,10,17,5,3,9,8,6,4,4,66,
McHenry,1980,434,532,97,122,102,47,38,48,32,21,41,35,431,
McLean,1114,226,258,50,63,75,60,28,16,29,13,19,14,263,
Macon,1193,311,291,69,56,29,19,22,42,31,23,15,9,276,
Macoupin,575,171,140,27,34,20,24,17,12,13,11,7,5,94,
Madison,2667,681,568,122,169,180,93,71,73,42,43,43,21,561,
Marion,469,123,89,27,44,16,18,15,13,13,11,9,5,86,
Mason,186,34,47,5,11,10,20,7,4,3,3,1,2,39,
Massac,211,53,36,13,13,9,6,8,6,3,2,5,2,55,
Menard,140,32,38,8,6,5,5,3,1,4,2,1,2,33,
Mercer,200,64,54,8,20,6,5,4,0,5,2,3,1,28,
Monroe,252,52,54,23,20,11,7,5,7,6,2,3,1,61,
Montgomery,340,86,82,24,15,19,14,11,5,12,6,4,1,61,
Morgan,403,102,93,26,28,25,9,10,5,15,8,5,3,74,
Moultrie,183,37,39,6,14,9,10,9,1,2,5,1,1,49,
Ogle,481,108,117,24,35,29,14,8,11,13,3,5,5,109,
Peoria,1782,395,433,106,110,81,39,37,40,51,25,23,18,424,
Perry,229,53,57,14,17,9,9,4,19,3,4,2,6,32,
Piatt,169,49,36,4,17,3,5,4,6,4,4,1,3,33,
Pike,184,31,43,8,10,12,2,4,8,8,6,2,0,50,
Pope,50,16,7,1,3,6,0,2,0,2,1,0,2,10,
Pulaski,96,28,20,5,8,6,2,0,0,1,1,2,0,23,
Putnam,59,18,20,2,2,2,1,1,0,0,0,3,0,10,
Randolph,351,73,71,27,24,29,20,10,8,5,8,6,6,64,
Richland,182,41,42,4,13,10,0,6,6,9,4,0,2,45,
Rock Island,1548,434,336,69,81,62,39,25,29,34,26,15,23,375,
St. Clair,2509,549,578,124,157,149,72,120,47,36,55,22,25,575,
Saline,333,63,69,18,28,20,25,14,11,6,5,9,3,62,
Sangamon,1888,409,435,99,107,117,46,34,48,29,36,29,29,470,
Schuyler,79,20,29,4,4,3,0,1,0,0,1,1,2,14,
Scott,59,14,11,5,4,1,1,0,0,1,1,1,0,20,
Shelby,228,61,42,15,17,13,8,7,1,6,3,1,0,54,
Stark,88,16,25,6,3,2,4,2,1,4,1,0,1,23,
Stephenson,528,111,134,37,26,15,16,18,11,7,5,4,5,139,
Tazewell,1319,280,306,68,71,67,44,33,30,33,21,21,8,337,
Union,231,54,66,11,10,5,13,3,3,6,7,1,0,52,
Vermilion,969,272,241,49,70,50,22,18,22,14,19,11,10,171,
Wabash,142,34,43,5,5,7,3,6,6,4,1,0,0,28,
Warren,186,48,35,10,16,10,7,10,1,3,2,0,3,41,
Washington,159,49,39,10,7,2,2,1,4,2,1,1,4,37,
Wayne,202,45,48,14,20,2,4,6,3,4,5,3,2,46,
White,226,51,40,12,15,14,10,8,5,8,4,2,0,57,
Whiteside,686,179,162,33,53,15,11,14,16,11,4,6,12,170,
Will,3982,917,1066,213,183,188,79,98,94,68,47,68,61,900,
Williamson,746,159,180,39,41,41,24,12,31,25,19,11,6,158,
Winnebago,2715,641,673,162,151,176,71,46,82,51,28,40,38,556,
ILLINOIS,103409,24843,24490,5531,5296,4510,2919,2798,2445,2441,1697,1321,1279,0,
Adams,797,190,166,47,47,38,32,14,16,22,13,4,5,0,
Alexander,97,22,26,8,6,2,4,3,4,1,1,1,1,0,
Bond,173,44,34,13,12,6,5,6,4,5,4,1,2,0,
Boone,378,96,88,27,22,14,16,11,8,7,5,11,5,0,
Brown,61,13,15,1,3,5,1,0,2,1,1,0,1,0,
Bureau,417,112,91,27,16,25,8,6,12,11,5,5,8,0,
Calhoun,58,21,12,1,3,1,2,3,3,0,1,0,0,0,
Carroll,189,46,46,11,15,11,5,1,3,7,2,3,0,0,
Cass,124,35,28,10,4,6,0,2,4,1,1,1,1,0,
Champaign,1244,293,251,69,57,73,38,34,24,23,17,22,18,0,
Christian,377,107,86,21,12,18,11,8,7,13,10,2,1,0,
Clark,205,62,40,12,12,9,7,3,6,7,2,5,3,0,
Clay,175,38,36,12,7,7,5,4,16,7,4,3,0,0,
Clinton,361,106,86,22,18,16,8,13,7,5,8,4,1,0,
Coles,521,114,128,46,19,28,17,12,7,9,6,10,7,0,
Cook,39427,10042,9493,1699,1997,1475,937,1120,913,917,657,447,528,0,
Chicago,18825,4927,4536,731,957,819,351,572,449,430,366,206,294,0,
Suburban Cook,20602,5115,4957,968,1040,656,586,548,464,487,291,241,234,0,
Crawford,245,54,57,12,15,17,5,9,6,1,8,3,6,0,
Cumberland,104,19,27,3,6,4,2,5,2,3,2,1,2,0,
DeKalb,678,152,149,32,43,30,28,12,15,10,8,8,10,0,
DeWitt,183,41,42,10,11,8,7,8,6,6,6,1,1,0,
Douglas,210,47,45,13,16,9,12,5,3,4,2,0,2,0,
Edgar,261,65,59,17,24,8,18,6,6,7,2,9,3,0,
Edwards,85,22,17,6,7,4,0,4,4,2,0,1,0,0,
Effingham,358,81,76,19,21,20,12,13,7,8,12,3,0,0,
DeathsCause of DeathFayette,218,48,48,14,9,13,8,11,6,6,7,5,1,0,
Ford,205,50,43,12,18,7,11,3,7,2,3,2,0,0,
Franklin,561,94,130,54,23,32,37,21,21,17,24,5,6,0,
Fulton,408,94,86,30,26,21,7,10,10,12,6,3,5,0,
Gallatin,85,18,17,4,7,2,4,1,5,3,1,1,0,0,
Greene,140,29,43,12,4,11,2,4,2,4,2,2,0,0,
Grundy,346,78,86,26,23,19,5,18,7,5,8,7,3,0,
Hamilton,121,29,28,15,7,9,2,2,5,4,2,2,3,0,
Hancock,220,58,52,14,10,15,14,3,5,3,5,2,1,0,
Hardin,75,26,14,7,4,6,2,1,0,2,0,1,0,0,
Henderson,81,27,25,4,2,4,3,1,1,3,0,0,1,0,
Henry,531,117,145,30,27,26,9,12,10,21,3,4,5,0,
Iroquois,353,73,74,26,23,19,26,12,13,0,5,10,4,0,
Jackson,480,117,94,20,16,25,30,11,15,11,10,7,4,0,
Jasper,114,23,25,10,9,6,0,5,7,6,4,2,1,0,
Jefferson,473,91,86,39,20,22,19,19,19,12,13,6,5,0,
Jersey,264,81,57,15,12,15,12,17,4,2,1,2,1,0,
Jo Daviess,242,57,65,10,17,9,11,6,2,3,2,1,4,0,
Johnson,120,28,24,11,5,5,1,0,3,3,2,1,0,0,
Kane,2942,566,728,130,132,134,68,101,83,87,40,36,38,0,
Kankakee,1096,270,237,64,64,52,42,27,26,19,23,9,13,0,
Kendall,517,82,144,30,24,30,15,15,14,11,8,4,13,0,
Knox,718,151,144,62,33,32,44,23,20,26,10,10,10,0,
Lake,4285,981,1046,207,181,158,104,138,101,95,80,66,67,0,
LaSalle,1230,341,277,75,70,57,38,19,23,34,20,19,17,0,
Lawrence,173,40,29,11,12,9,18,3,7,5,1,0,3,0,
Lee,371,98,93,27,19,12,17,13,11,4,5,6,1,0,
Livingston,427,111,106,27,24,14,15,21,8,11,4,5,1,0,
Logan,341,67,94,22,16,18,19,10,12,4,7,1,3,0,
McDonough,324,76,70,31,21,16,10,9,4,11,2,2,1,0,
McHenry,1936,411,510,130,75,87,51,61,43,50,23,36,29,0,
McLean,1109,265,261,73,50,44,44,18,15,19,22,26,10,0,
Macon,1212,273,301,76,59,34,21,31,35,32,32,14,18,0,
Macoupin,573,140,119,47,32,41,11,15,14,10,8,4,6,0,
Madison,2771,635,664,171,141,155,106,69,76,57,45,31,28,0,
Marion,523,129,132,36,29,22,16,22,18,9,6,4,11,0,
Marshall,165,39,29,13,10,5,7,6,7,6,1,2,0,0,
Mason,208,50,45,15,11,10,10,4,3,2,0,7,0,0,
Massac,204,48,28,21,11,10,9,5,7,3,2,3,4,0,
Menard,118,14,44,6,7,3,3,3,1,3,5,1,186,57,
Monroe,305,71,57,18,17,16,8,5,4,1,4,5,2,0,
Montgomery,357,80,84,25,21,21,17,7,2,14,5,7,3,0,
Morgan,391,117,87,25,21,27,9,6,4,7,7,0,9,0,
Moultrie,179,33,39,18,9,8,4,6,2,1,3,3,0,0,
Ogle,508,114,110,32,36,24,30,9,9,8,4,11,8,0,
Peoria,1807,409,396,97,138,81,49,42,40,58,35,28,14,0,
Perry,230,61,40,14,12,10,9,12,9,10,5,2,3,0,
Piatt,198,43,45,11,12,12,5,0,4,7,1,2,1,0,
Pike,201,39,45,17,10,7,11,6,3,6,6,1,2,0,
Pope,45,13,17,1,1,2,0,1,1,1,1,0,0,0,
Pulaski,68,21,11,5,2,2,1,0,3,2,1,1,1,0,
Putnam,53,15,12,1,2,4,3,2,2,0,2,3,1,0,
Randolph,370,85,77,22,19,33,17,7,6,9,5,2,3,0,
Richland,203,47,39,16,11,6,3,2,12,9,3,2,2,0,
Rock Island,1532,427,346,102,70,64,33,33,22,43,25,20,13,0,
St. Clair,2481,558,561,144,127,143,78,106,60,47,41,28,22,0,
Saline,371,83,61,20,13,22,20,9,16,15,13,5,8,0,
Sangamon,1851,434,451,109,88,94,39,42,34,49,40,31,21,0,
Schuyler,80,18,23,9,2,6,0,1,4,2,2,2,0,0,
Scott,65,13,14,3,4,6,0,0,0,2,1,1,0,0,
Shelby,224,57,58,17,8,10,11,6,4,5,5,2,1,0,
Stark,65,23,10,6,1,1,3,1,1,0,0,0,0,0,
Stephenson,537,119,122,24,30,28,17,14,8,11,8,7,5,0,
Tazewell,1404,301,333,86,78,48,34,33,21,49,23,19,16,0,
Union,236,51,49,9,13,10,6,2,15,10,8,1,4,0,
Vermilion,897,249,209,85,42,41,16,21,31,11,17,9,7,0,
Wabash,143,26,28,17,10,11,4,2,1,3,5,2,2,0,
Warren,182,57,51,7,13,11,3,6,2,1,3,4,3,0,
Washington,160,33,38,9,11,12,2,1,4,2,4,1,3,0,
Wayne,218,53,36,20,12,10,4,5,12,1,4,4,1,0,
White,217,46,59,20,7,14,5,4,12,3,3,2,1,0,
Whiteside,638,142,153,51,34,26,20,12,15,13,7,8,9,0,
Will,4014,962,1015,210,195,179,101,100,85,84,45,69,71,0,
Williamson,749,163,188,43,23,31,13,12,26,19,31,12,8,0,
Winnebago,2899,638,676,161,202,191,83,66,79,56,35,38,51,0,
Woodford,369,87,82,24,20,16,20,9,9,9,6,6,4,0,
ILLINOIS,105296,25020,24504,5633,5490,4642,3267,2712,2517,2483,1804,1396,1321,0,
Adams,786,171,164,58,25,47,44,12,13,32,20,9,8,0,
Alexander,109,30,26,6,3,6,2,6,4,4,1,0,0,0,
Bond,160,36,24,6,9,15,8,6,5,5,1,2,3,0,
Boone,413,101,114,29,17,21,8,6,13,7,4,3,6,0,
Brown,51,7,7,3,5,4,0,1,3,0,1,3,0,0,
Bureau,380,109,75,26,11,22,18,5,19,13,4,3,5,0,
Calhoun,52,17,14,2,1,2,2,4,2,1,1,1,0,0,
Carroll,188,56,45,11,7,9,2,5,2,2,4,3,0,0,
Cass,171,56,43,9,9,8,2,2,5,4,2,3,1,0,
Champaign,1301,286,287,79,59,74,34,18,31,28,16,18,21,0,
Christian,408,91,102,16,24,23,7,8,7,13,9,10,6,0,
Clark,223,49,50,17,18,9,11,7,3,4,2,4,4,0,
Clay,146,37,26,8,6,4,2,6,24,2,4,2,1,0,
Clinton,329,84,74,17,19,12,8,7,4,10,9,4,2,0,
Coles,465,127,106,32,20,19,14,14,8,9,6,5,3,0,
Cook,39997,10035,9414,1719,2138,1490,1150,1083,1007,949,770,452,551,0,
Chicago,19003,4859,4429,723,970,796,440,577,498,435,397,201,283,0,
Suburban Cook,20994,5176,4985,996,1168,694,710,506,509,514,373,251,268,0,
Crawford,227,63,50,15,16,8,15,4,5,3,4,0,2,0,
Cumberland,114,23,34,12,4,7,2,1,1,2,3,1,0,0,
DeKalb,714,144,164,36,29,30,29,20,18,21,9,13,7,0,
DeWitt,189,47,47,10,8,7,7,5,6,5,0,3,1,0,
Douglas,205,41,33,19,8,7,12,9,8,4,7,6,4,0,
Edgar,226,83,43,26,13,6,6,4,6,2,3,1,1,0,
Edwards,74,20,20,1,6,4,1,0,4,1,0,4,2,0,
Effingham,347,82,81,11,18,22,14,11,5,9,5,1,0,0,
DeathsCause of DeathFayette,194,42,35,16,11,18,5,8,5,7,3,2,2,0,
Ford,200,54,46,16,9,10,6,3,2,2,1,1,2,0,
Franklin,532,83,116,47,29,28,29,30,19,9,23,7,6,0,
Fulton,470,106,108,32,28,10,4,12,12,20,6,8,5,0,
Gallatin,86,24,14,10,0,10,4,1,1,0,2,0,0,0,
Greene,165,46,30,11,4,17,4,6,7,4,1,2,2,0,
Grundy,414,102,91,23,23,23,6,21,7,9,5,8,4,0,
Hamilton,100,27,19,8,4,5,2,3,8,2,3,0,1,0,
Hancock,227,62,53,19,16,8,6,2,7,5,2,2,0,0,
Hardin,65,15,17,6,2,5,0,4,1,3,1,0,0,0,
Henderson,89,18,25,12,4,3,3,2,1,0,1,1,1,0,
Henry,495,119,108,41,23,25,9,13,6,16,7,4,5,0,
Iroquois,371,101,84,20,19,16,20,8,6,3,11,6,4,0,
Jackson,453,107,104,15,30,22,16,12,14,4,13,6,5,0,
Jasper,100,30,18,10,5,1,4,2,3,3,1,1,1,0,
Jefferson,450,85,102,33,17,18,35,13,13,16,11,7,3,0,
Jersey,239,50,52,12,14,9,10,14,5,4,2,3,4,0,
Jo Daviess,262,69,74,10,17,14,9,3,2,7,3,2,2,0,
Johnson,121,20,38,15,7,8,4,0,0,2,2,1,0,0,
Kane,3084,619,782,153,166,124,66,78,89,70,45,46,52,0,
Kankakee,1097,272,248,55,46,59,47,21,32,40,22,15,20,0,
Kendall,572,120,141,35,24,20,15,19,12,9,7,13,11,0,
Knox,650,153,111,62,36,21,35,17,11,14,12,10,8,0,
Lake,4455,956,1039,240,212,211,135,129,99,94,74,70,62,0,
LaSalle,1350,361,304,80,80,62,43,33,16,27,12,23,22,0,
Lawrence,197,46,40,10,9,13,18,5,6,4,5,4,1,0,
Lee,380,93,92,17,18,25,16,8,9,5,4,6,3,0,
Livingston,412,107,100,21,25,18,7,15,9,10,10,6,5,0,
Logan,349,72,85,27,15,13,18,10,5,9,4,8,5,0,
McDonough,314,75,54,21,22,17,9,7,7,12,10,5,3,0,
McHenry,2036,435,495,140,99,114,46,69,43,39,27,38,32,0,
McLean,1161,286,268,79,62,61,64,27,15,15,16,19,13,0,
Macon,1315,317,282,60,58,55,26,21,34,38,47,13,14,0,
Macoupin,543,143,119,33,30,19,18,14,7,17,13,7,2,0,
Madison,2942,685,607,184,174,207,117,82,75,76,39,40,31,0,
Marion,473,132,90,40,26,24,12,11,6,16,6,11,8,0,
Marshall,162,41,38,8,8,10,11,3,5,7,3,1,0,0,
Mason,180,38,42,15,8,9,8,6,4,2,1,4,4,0,
Massac,201,49,40,16,5,7,7,8,8,5,2,5,3,0,
Menard,138,25,29,10,11,6,4,1,3,3,2,1,167,45,
Monroe,290,65,62,15,12,21,6,10,7,4,6,3,7,0,
Montgomery,364,71,87,20,34,20,11,5,10,13,9,3,2,0,
Morgan,377,107,90,24,16,15,4,5,3,9,4,13,6,0,
Moultrie,191,48,43,16,14,5,2,7,1,5,4,3,2,0,
Ogle,511,95,126,32,27,29,31,18,9,13,6,10,9,0,
Peoria,1753,379,386,97,120,92,46,32,40,48,36,18,20,0,
Perry,259,42,69,15,7,15,15,5,12,7,6,3,3,0,
Piatt,188,42,47,12,10,13,2,2,1,2,3,3,2,0,
Pike,207,39,38,21,11,9,11,6,6,4,5,5,0,0,
Pope,49,8,12,2,4,2,2,1,3,0,1,1,0,0,
Pulaski,84,29,19,9,3,2,4,1,1,4,0,2,0,0,
Putnam,62,19,17,3,1,1,2,1,3,0,1,2,2,0,
Randolph,371,87,81,23,25,24,6,16,10,7,5,7,3,0,
Richland,223,44,45,12,8,16,2,1,8,15,3,4,1,0,
Rock Island,1569,381,364,83,80,53,44,37,29,39,20,28,20,0,
St. Clair,2544,556,557,158,130,142,99,91,56,64,55,33,15,0,
Saline,355,75,82,27,16,15,22,7,10,17,11,0,4,0,
Sangamon,1910,443,471,104,121,101,42,50,27,39,32,22,17,0,
Schuyler,71,15,23,5,1,4,0,2,0,2,2,1,0,0,
Scott,54,11,13,3,3,0,1,1,3,3,1,0,2,0,
Shelby,254,63,66,16,8,10,3,12,3,5,3,3,1,0,
Stark,92,22,17,7,3,2,5,1,4,2,0,2,3,0,
Stephenson,513,104,127,38,24,21,10,13,11,8,8,4,7,0,
Tazewell,1408,330,305,73,77,60,59,34,24,31,21,14,14,0,
Union,226,39,57,16,11,11,5,2,5,9,1,5,2,0,
Vermilion,1039,256,252,88,52,53,20,30,22,21,18,13,9,0,
Wabash,135,33,32,10,4,4,3,4,2,4,2,3,0,0,
Warren,179,49,33,12,13,6,8,8,2,4,3,5,3,0,
Washington,150,49,41,7,6,9,2,3,3,3,4,1,0,0,
Wayne,237,58,47,20,13,7,4,10,5,5,2,3,2,0,
White,235,55,47,17,14,7,2,6,8,7,4,5,2,0,
Whiteside,614,138,131,56,27,23,15,14,11,14,5,11,4,0,
Will,4223,1015,1063,205,214,197,107,113,130,88,40,56,75,0,
Williamson,743,138,185,44,40,45,25,13,23,26,20,21,4,0,
Winnebago,2887,630,698,171,150,167,90,56,75,54,27,42,43,0,
Woodford,388,83,79,17,16,22,25,9,5,11,9,8,3,0,
ILLINOIS,106879,25653,24713,5709,5544,4853,3687,2818,2543,2343,1819,0,0,0,
Adams,832,162,159,33,60,52,41,11,18,29,37,0,0,0,
Alexande r,97,17,32,5,3,3,2,3,12,2,2,0,0,0,
Bond,192,51,42,4,7,15,16,4,7,2,398,94,94,28,
Clinton,376,109,63,22,26,19,8,9,6,15,558,169,130,29,
Suburban Coo k,2097,9,5217,5017,1187,892,779,806,553,470,452,317,0,0,
Crawford,242,73,47,23,13,7,9,3,6,8,4,0,0,0,
Edwards,70,17,15,7,5,1,0,2,2,2,405,98,81,35,
Hamilton,94,30,27,6,10,2,2,2,1,3,0,0,0,0,
Hancock,168,47,45,5,7,3,8,3,3,5,54,11,13,3,
Iroquois,394,90,93,16,25,18,23,14,7,8,471,108,99,19,
Jo Daviess,238,57,58,16,10,17,10,4,4,5,116,25,25,8,
Montgomer y,366,88,79,26,14,12,28,6,8,9,5,0,0,0,
Morgan,415,124,96,17,23,23,4,10,7,8,198,50,39,8,
Piatt,136,37,33,5,9,5,1,2,2,6,1,0,0,0,
Pike,209,42,52,7,15,12,9,4,3,4,50,14,14,1,
Saline,374,72,84,12,35,20,19,4,13,16,2010,444,496,112,
Scott,63,18,17,1,1,2,1,1,2,1,0,0,0,0,
Stark,92,18,14,4,9,5,8,3,2,1,542,119,117,31,
ILLINOIS,107041,25017,24396,5660,5632,5506,3878,2782,2518,2177,1704,0,0,0,
Adams,773,204,123,34,48,38,34,11,16,16,30,0,0,0,
Alexander,101,32,17,3,5,7,0,2,5,6,0,0,0,0,
Bond,183,52,41,16,11,9,5,6,2,5,1,0,0,0,
Boone,407,71,92,20,37,23,16,18,16,8,3,0,0,0,
Brown,58,10,15,4,8,1,2,1,2,1,2,0,0,0,
Bureau,447,109,87,28,33,25,18,10,18,13,12,0,0,0,
Calhoun,50,15,9,1,2,3,2,2,2,3,0,0,0,0,
Carroll,177,61,31,9,9,7,2,4,4,3,4,0,0,0,
Cass,159,50,42,10,8,1,1,6,5,1,2,0,0,0,
Champaign,1311,281,278,66,78,82,55,14,21,22,30,0,0,0,
Christian,415,96,99,13,26,25,19,9,6,7,13,0,0,0,
Clark,178,35,36,13,13,10,10,8,10,7,4,0,0,0,
Clay,181,41,52,9,8,9,6,3,12,6,6,0,0,0,
Clinton,343,99,74,16,17,18,8,10,6,12,5,0,0,0,
Coles,524,124,107,33,34,21,21,8,11,11,9,0,0,0,
Cook,40891,9948,9394,2243,1647,2049,1429,1147,952,899,621,0,0,0,
Chicago,19809,4927,4432,1069,673,1139,596,634,452,430,298,0,0,0,
Suburban Cook,21082,5021,4962,1174,974,910,833,513,500,469,323,0,0,0,
Crawford,255,70,49,17,14,17,10,5,8,5,4,0,0,0,
Cumberland,109,23,25,8,2,6,3,6,2,3,0,0,0,0,
DeKalb,700,142,183,28,48,40,24,26,16,7,11,0,0,0,
DeWitt,189,46,39,9,13,8,19,4,5,2,2,0,0,0,
Douglas,181,46,39,11,8,11,11,5,1,6,3,0,0,0,
Edgar,227,64,51,7,18,12,10,8,13,2,1,0,0,0,
Edwards,73,19,10,7,6,6,1,2,3,4,0,0,0,0,
Effingham,303,60,65,20,17,16,13,4,6,11,7,0,0,0,
Fayette,223,57,53,12,10,14,9,7,3,5,3,0,0,0,
Ford,209,41,45,9,16,7,27,4,5,2,4,0,0,0,
Franklin,519,89,113,22,49,37,21,15,21,11,20,0,0,0,
Fulton,479,109,87,21,43,17,22,8,8,7,9,0,0,0,
Gallatin,70,21,15,3,8,3,2,2,2,2,2,0,0,0,
Greene,190,35,45,10,20,10,6,2,2,6,8,0,0,0,
Hamilton,98,21,23,12,9,6,3,2,3,4,2,0,0,0,
Hancock,220,50,47,8,13,12,7,4,9,7,10,0,0,0,
Hardin,74,19,20,4,5,2,0,4,2,1,0,0,0,0,
Henderson,86,25,19,3,12,4,3,1,3,1,0,0,0,0,
Henry,561,143,117,23,46,23,14,15,14,13,6,0,0,0,
Iroquois,406,100,89,22,24,26,31,19,8,5,6,0,0,0,
Jackson,450,107,81,15,34,31,10,10,19,14,14,0,0,0,
Jasper,113,23,27,3,10,12,2,5,2,6,1,0,0,0,
Jefferson,407,96,80,16,27,26,20,23,12,9,7,0,0,0,
Jersey,272,69,48,7,22,13,17,10,6,11,5,0,0,0,
Jo Daviess,258,56,55,24,9,21,20,3,2,4,2,0,0,0,
Johnson,121,27,27,4,10,7,2,2,4,2,0,0,0,0,
Kane,3165,675,742,178,142,170,72,85,76,50,44,0,0,0,
Kankakee,1180,305,288,64,58,57,49,22,23,28,18,0,0,0,
Kendall,560,102,143,38,31,51,15,11,9,8,7,0,0,0,
Knox,681,169,132,36,60,27,41,28,8,16,8,0,0,0,
Lake,4506,922,1175,209,234,223,157,112,127,74,62,0,0,0,
LaSalle,1296,287,300,69,85,59,61,37,26,25,12,0,0,0,
Lawrence,214,39,49,9,13,5,17,12,5,7,4,0,0,0,
Lee,365,91,93,16,36,18,10,2,8,3,8,0,0,0,
Livingston,430,122,99,22,23,22,14,10,6,8,8,0,0,0,
Logan,362,72,91,23,20,16,13,7,11,15,6,0,0,0,
McDonough,320,78,67,20,29,13,7,6,11,10,3,0,0,0,
McHenry,2066,458,531,99,112,131,63,65,39,21,22,0,0,0,
McLean,1135,272,246,44,79,59,73,22,17,13,14,0,0,0,
Macon,1215,264,283,70,82,65,28,20,28,26,21,0,0,0,
Macoupin,605,144,141,30,35,43,19,17,7,8,8,0,0,0,
Madison,2772,686,602,159,162,159,126,76,77,35,52,0,0,0,
Marion,537,136,103,26,41,34,21,22,14,10,9,0,0,0,
Marshall,156,30,37,9,17,1,9,1,4,10,2,0,0,0,
Mason,184,40,58,9,16,4,6,3,2,2,3,0,0,0,
Massac,214,67,38,12,15,13,7,7,8,4,2,0,0,0,
Menard,131,24,32,4,3,14,5,1,3,2,5,0,0,0,
Mercer,189,43,49,8,8,6,6,8,2,1,3,0,0,0,
Montgomery,368,81,87,25,16,20,24,5,13,9,5,0,0,0,
Morgan,388,119,83,18,28,18,7,6,2,10,6,0,0,0,
Moultrie,194,40,38,12,16,8,6,3,3,3,5,0,0,0,
Ogle,500,101,124,35,46,26,17,5,7,6,6,0,0,0,
